species,common_name,description
acacia_auriculiformis,Auri,
acacia_mangium,Mangium,
acer_saccharum,Sugar Maple,
dipterocarpus_grandiflorus,Apitong,
endospermum_peltatum,Gubas,
eucalyptus_camaldulensis,River Red Gum ,
falcataria_falcata,Moluccan Sau,
fraxinus_americana,Glacial Ash,
gmelina_arborea,Gmelina,
hevea_brasiliensis,Rubber,
instia_bijuga,Ipil,
juglans_nigra,Glacial Walnut ,
juglans_regia,Walnut,
leucaena_leucocephala,Ipil-Ipil,
palosapis,Palosapis,
parashorea_malaanonan,Bagtikan,
pometia_pinnata,Malugai,
pterocarpus_indicus,Narra,
quercus_robur,European Oak,
samanea_saman,Rain Tree,
shorea_albida,Dark Red Meranti,
shorea_astylosa,Yakal,
shorea_contorta,White Lauan,
shorea_negrosensis,Red Lauan,
shorea_ovata,Tiaong,
shorea_palosapis,Mayapis,
shorea_parvifolia,Light Red Meranti,
shorea_polysperma,Tanguile,
swietenia_macrophylla,Big-leafed mahogany,
tectona_grandis,Teak,
vitex_parviflora,Molave,
